rewards-leaderboard-season-9
Rank;Trader;Estimated Rewards
69;dydx1fg5sqtqacj8966ldrc7p9masrgdgfddmy7rh62;2295.3471284528846
70;dydx12r9zw52gcejn4smmcvvjc5d24cr2drkknv4kkh;2275.9322251285007
71;dydx1vgl5r7shzlx4s026jvsyyld4v5lz98alwe5xtd;2241.2239137515103
72;dydx16ca2dg7y477zyrw0demqsse3stesud7val6dk9;2233.4643387863584
73;dydx1s6e0aej3g4nax2gmw9dcd8tnpwse8tfvpp729k;2176.680122373511
74;dydx1m4v5r5s9t2m3ukm35shcn84rrkzrv4u8k7dnq7;2151.4143837733154
75;dydx18023tv2kw8c03us8nl77ma00466zqqzgzh7l6y;2146.3987851117254
76;dydx1h5gmd0qzwrdds5ymck3685jn89ptjun8550dwp;2143.449881565529
77;dydx10e2lwtk5p5d46qz2x6l5l9qatgvdcdmup7aeej;2088.929815353015
78;dydx1vm2yw07sptmmgum60rvp7ku202j55gkh86k4vv;2060.638041156665
79;dydx1a68qun60rdx9d8uduqjfd75fpy78phpq783hhm;2026.837360830446
80;dydx1x93p89uupu4cn4c70qzrunugfzfc5cx6wnv4qt;1988.9899685372477
81;dydx10zzcdhvtt27uzsvayqk6e8ux8x6hacngklqgm5;1954.5700342995167
82;dydx1f3l724ezg3m9eykkyem6xamguqyf434ptzpkda;1938.6169097218724
83;dydx12v3g68sjcn0s4v3jlc5jtuklv5arps2y6syjuz;1920.0090549835318
84;dydx1klzh6gfechueh646drpms9pxs2vyc6js3qx34p;1785.3012553305168
85;dydx1htq9f27qmm8c5umn4vf9jsddum9v0n7e9x4llr;1784.8528950049376
86;dydx1zdlz972ls37sg82jgny5xp2nel83ksgc7323yt;1764.5020306275255
87;dydx1w8d4hhdd60x7jx2y5v97rv47j7zpltpakew39r;1715.534802264269
88;dydx10hpl83hamwz0pxvjlanh5rcas3mdgf8xk7g7ra;1702.7651316764263
89;dydx1hfxdtw5zdr9kq943uuz0aq49xf0jawlcfl2p02;1697.6476666105825
